"Sp","Betacov","R.Alb","R.Dal1","R.Far1","R.Po2","R.Po3","Rank","PropRank","InSample"
"Cervus elaphus",0,0.257030505243089,0.661971830985915,0.0450704225352113,NA,NA,526.833333333333,0.321357586254738,1
"Nycticeius humeralis",0,0.137988560533842,0.176760563380282,0.652112676056338,NA,NA,389.166666666667,0.322287266656821,1
"Rhinolophus shameli",0,0.0247855100095329,0.452112676056338,0.490140845070423,NA,NA,257.666666666667,0.322346343712098,1
"Capreolus capreolus",0,0.252979027645377,0.650704225352113,0.0647887323943662,NA,NA,523.166666666667,0.322823995130618,1
"Sigmodon hispidus",0,0.629408960915157,0.245070422535211,0.0943661971830986,NA,NA,960.666666666667,0.322948526877822,1
"Mus booduga",0,0.25893708293613,0.416197183098592,0.294366197183099,NA,NA,530.333333333333,0.323166821072607,1
"Rhinolophus coelophyllus",0,0.023117254528122,0.452112676056338,0.494366197183099,NA,NA,256.333333333333,0.323198709255853,1
"Saccolaimus saccolaimus",0,0.0731649189704481,0.176760563380282,0.722535211267606,NA,NA,315.166666666667,0.324153564539445,1
"Lasionycteris noctivagans",0,0.135009532888465,0.176760563380282,0.661971830985915,NA,NA,387.333333333333,0.324580642418221,1
"Lasiurus xanthinus",0,0.0940181124880839,0.176760563380282,0.707042253521127,NA,NA,340.666666666667,0.325940309796497,1
"Chlorocebus aethiops",1,0.536820781696854,0.394366197183099,0.0492957746478873,NA,NA,855.833333333333,0.32682758450928,1
"Rhinolophus simulator",0,0.0458770257387989,0.452112676056338,0.487323943661972,NA,NA,286.5,0.328437881819036,1
"Tadarida teniotis",0,0.0458770257387989,0.176760563380282,0.764788732394366,NA,NA,287,0.329142107171149,1
"Myotis capaccinii",0,0.0297902764537655,0.452112676056338,0.505633802816901,NA,NA,268.333333333333,0.329178918442335,1
"Cricetomys gambianus",0,0.346639656816015,0.487323943661972,0.163380281690141,NA,NA,638.833333333333,0.332447960722709,1
"Eidolon dupreanum",1,0.0691134413727359,0.630985915492958,0.3,NA,NA,317,0.333366452288565,1
"Ichneumia albicauda",0,0.261439466158246,0.316901408450704,0.426760563380282,NA,NA,541.666666666667,0.335033812663077,1
"Cercopithecus ascanius",0,0.468779790276454,0.388732394366197,0.149295774647887,NA,NA,783,0.335602653096846,1
"Macroglossus minimus",0,0.0109628217349857,0.35,0.649295774647887,NA,NA,251.833333333333,0.336752865460958,1
"Elephas maximus",0,0.524189704480458,0.308450704225352,0.17887323943662,NA,NA,848.5,0.337171216047476,1
"Murina aurata",0,0.0189466158245949,0.35,0.647887323943662,NA,NA,262.666666666667,0.338944646589419,1
"Myotis punicus",0,0.0550524308865586,0.452112676056338,0.509859154929577,NA,NA,304.666666666667,0.339008087290825,1
"Myotis horsfieldii",0,0.00524308865586273,0.452112676056338,0.564788732394366,NA,NA,248,0.340714832368856,1
"Scotophilus nux",0,0.0490943755958055,0.452112676056338,0.52112676056338,NA,NA,299,0.340777937405175,1
"Damaliscus lunatus",0,0.312082936129647,0.528169014084507,0.184507042253521,NA,NA,605.166666666667,0.341586330822558,1
"Rhinolophus megaphyllus",0,0.0882983794089609,0.452112676056338,0.484507042253521,NA,NA,345.166666666667,0.341639365906273,1
"Macaca mulatta",0,0.2697807435653,0.749295774647887,0.0154929577464789,NA,NA,558.333333333333,0.344856491986555,1
"Rhinolophus mehelyi",1,0.0216873212583413,0.566197183098592,0.454929577464789,NA,NA,272,0.347604693940574,1
"Hipposideros abae",0,0.149070543374643,0.524647887323944,0.371830985915493,NA,NA,420.666666666667,0.348516472204693,1
"Myotis brandtii",0,0.0207340324118208,0.452112676056338,0.573239436619718,NA,NA,271.666666666667,0.348695381695959,1
"Rhinolophus eloquens",0,0.026930409914204,0.795774647887324,0.226760563380282,NA,NA,279.666666666667,0.34982187372727,1
"Giraffa camelopardalis",0,0.300405147759771,0.652112676056338,0.0985915492957746,NA,NA,597.833333333333,0.350369791037295,1
"Rhinolophus capensis",0,0.113322211630124,0.452112676056338,0.485915492957746,NA,NA,380.5,0.350450126881403,1
"Dama dama",0,0.264656816015253,0.715492957746479,0.071830985915493,NA,NA,556.5,0.350660253225742,1
"Artibeus toltecus",0,0.184699714013346,0.35,0.51830985915493,NA,NA,463.833333333333,0.351003191056092,1
"Leptonycteris curasoae",0,0.177430886558627,0.176760563380282,0.7,NA,NA,455.666666666667,0.351397149979636,1
"Eumops perotis",0,0.16384652049571,0.176760563380282,0.715492957746479,NA,NA,440.333333333333,0.35203334720749,1
"Hipposideros cineraceus",0,0.0166825548141087,0.35,0.690140845070423,NA,NA,269.5,0.352274466628177,1
"Eumops patagonicus",0,0.199356530028599,0.176760563380282,0.683098591549296,NA,NA,482.333333333333,0.353071894986059,1
"Nycteris thebaica",0,0.0831744518589133,0.176760563380282,0.8,NA,NA,347.5,0.353311671746398,1
"Proechimys semispinosus",0,0.776334604385129,0.113380281690141,0.170422535211268,NA,NA,1153,0.353379140428846,1
"Nyctinomops macrotis",0,0.1732602478551,0.176760563380282,0.712676056338028,NA,NA,452.833333333333,0.354232289191137,1
"Platyrrhinus lineatus",0,0.167302192564347,0.176760563380282,0.72112676056338,NA,NA,446.5,0.355063172169336,1
"Rhinolophus thomasi",1,0.00643469971401335,0.566197183098592,0.492957746478873,NA,NA,259.666666666667,0.355196543097159,1
"Pteropus rufus",1,0.141920877025739,0.630985915492958,0.292957746478873,NA,NA,417.166666666667,0.355288179665857,1
"Tylonycteris robustula",0,0.00548141086749285,0.452112676056338,0.608450704225352,NA,NA,258.666666666667,0.355348263716394,1
"Pipistrellus inexspectatus",0,0.0504051477597712,0.452112676056338,0.567605633802817,NA,NA,311.833333333333,0.356707819206309,1
"Peromyscus leucopus",0,0.605576739752145,0.240845070422535,0.225352112676056,NA,NA,957.333333333333,0.357257974283579,1
"Eudorcas thomsonii",0,0.473307912297426,0.505633802816901,0.0971830985915493,NA,NA,804.666666666667,0.358708271235292,1
"Sciurus niger",0,0.878693994280267,0.0232394366197183,0.174647887323944,NA,NA,1275.83333333333,0.358860439407976,1
"Diaemus youngi",0,0.191015252621544,0.176760563380282,0.709859154929578,NA,NA,477,0.359211656977135,1
"Eumops auripendulus",0,0.177430886558627,0.176760563380282,0.725352112676056,NA,NA,461.666666666667,0.359847854204988,1
"Micronycteris megalotis",0,0.160867492850334,0.176760563380282,0.743661971830986,NA,NA,442.833333333333,0.360430009353867,1
"Rhinolophus hipposideros",1,0.0138226882745472,0.566197183098592,0.501408450704225,NA,NA,272,0.360476107359121,1
"Antilocapra americana",0,0.583412774070543,0.385915492957746,0.112676056338028,NA,NA,934,0.360668107788773,1
"Sylvilagus audubonii",0,0.802430886558627,0.113380281690141,0.169014084507042,NA,NA,1189.16666666667,0.36160841758527,1
"Panthera leo",0,0.301477597712107,0.714084507042254,0.0704225352112676,NA,NA,607.333333333333,0.361994879988543,1
