"Sp","Betacov","R.Alb","R.Car3","R.Gut1","R.Stock1","P.Alb","P.Car3","P.Gut1","P.Stock1","Rank","PropRank","InSample"
"Myotis oreias",0,0.472250770811922,0.459677419354839,0.793010752688172,0.92314990512334,0.174868421052632,0.0878194950465573,0.20107260061812,0.0502541427702232,707.625,0.662022211994568,0
"Vespadelus douglasorum",0,0.631551901336074,0.581541218637993,0.637992831541219,0.800759013282732,0.161973684210526,0.0541550600611964,0.313789192285763,0.092126593137443,704.875,0.662961241199505,0
"Cistugo lesueuri",0,0.595580678314491,0.540322580645161,0.935483870967742,0.583491461100569,0.167631578947368,0.0671239048564178,0.10544542036836,0.154051191053205,710.375,0.663719647756991,0
"Myotis ciliolabrum",0,0.464542651593011,0.844534050179211,0.359318996415771,0.994307400379507,0.175394736842105,0.0186668644914028,0.567124461536298,-0.000493173888960613,710.875,0.665675774641875,0
"Chiroderma doriae",0,0.727132579650565,0.451612903225806,0.702508960573477,0.783681214421252,0.144210526315789,0.0893144757202305,0.276020161136285,0.097921842770483,705.375,0.666233914467775,0
"Neoromicia brunneus",0,NA,0.28494623655914,0.834229390681004,0.882352941176471,NA,0.156685852445363,0.168758988882395,0.0689323234456728,726.333333333333,0.667176189472205,0
"Rhogeessa alleni",0,0.453751284686536,0.708781362007168,0.949820788530466,0.556925996204934,0.176184210526316,0.0334265488437011,0.0931264254592823,0.160868938088194,719.875,0.667319857857276,0
"Stenoderma rufum",0,0.829907502569373,0.458781362007168,0.765232974910394,0.616698292220114,0.132105263157895,0.0879406864425087,0.228926567261066,0.147379177939163,705.875,0.667655032926762,0
"Chalinolobus dwyeri",0,0.607399794450154,0.887992831541219,0.744623655913978,0.43168880455408,0.166184210526316,0.015865097214739,0.242601064500818,0.200300596138882,717,0.667926271614858,0
"Vespadelus troughtoni",0,0.421377183967112,0.876344086021505,0.735663082437276,0.646110056925996,0.178421052631579,0.0166764957663799,0.254061202595968,0.140165200041841,722.5,0.669873602337972,0
"Myotis australis",0,0.501027749229188,0.879032258064516,0.390681003584229,0.912713472485769,0.173552631578947,0.0164820885401514,0.55509082725925,0.0563350382311097,716.625,0.670863620840926,0
"Rhinolophus ziama",0,NA,0.960125448028674,0.382616487455197,NA,NA,0.0106345183437003,0.55627478808192,NA,749.25,0.671370967741935,0
"Miniopterus shortridgei",0,0.819630010277492,0.896953405017921,0.388888888888889,0.584440227703985,0.133947368421053,0.0157816122126571,0.55572528876915,0.153947571201593,712.125,0.672478132972072,0
"Nycticeius aenobarbus",0,NA,0.896953405017921,0.370967741935484,0.752371916508539,NA,0.0157816122126571,0.557293863285112,0.107277492150814,736,0.673431021153981,0
"Myotis fortidens",0,0.300102774922919,0.655017921146953,0.768817204301075,0.972485768500949,0.189210526315789,0.0423326148236801,0.227866884870917,0.0255132712585608,726.5,0.674105917217974,0
"Hypsugo lophurus",0,NA,0.422043010752688,0.719534050179211,0.881404174573055,NA,0.0965209466503558,0.266926573791585,0.0690925339261011,734.333333333333,0.674327078501652,0
"Artibeus gnomus",0,0.756423432682426,0.592293906810036,0.568100358422939,0.780834914611006,0.141447368421053,0.0528710436261331,0.370669920250247,0.0981570433543984,713.5,0.674413153131602,0
"Aselliscus tricuspidatus",0,0.963001027749229,0.585125448028674,0.796594982078853,0.354838709677419,0.111710526315789,0.0537279331728311,0.198920222046481,0.241209920568866,713.25,0.674890041883544,0
"Rhogeessa io",0,0.228160328879753,0.869175627240143,0.663978494623656,0.938330170777989,0.200789473684211,0.0169935442747298,0.296903244074527,0.0443925271483089,730.5,0.674911155380385,0
"Hypsugo crassulus",0,NA,0.282258064516129,0.794802867383513,0.952561669829222,NA,0.158238863487684,0.200644990556777,0.037706407395659,735.333333333333,0.676540867242954,0
"Trachops cirrhosus",0,0.809352517985611,0.912186379928315,0.259856630824373,0.724857685009488,0.135263157894737,0.0149871964973207,0.658172000327393,0.115047639477641,714.875,0.676563303436947,0
"Chaerephon tomensis",0,NA,0.456989247311828,0.896953405017921,NA,NA,0.0880730151766923,0.129080871745509,NA,755.5,0.676971326164875,0
"Nycteris madagascariensis",0,0.974306269270298,0.568996415770609,0.475806451612903,0.695445920303605,0.108552631578947,0.0585819452571994,0.468577422482214,0.125492477535639,711.75,0.678638764239354,0
"Plecotus alpinus",0,NA,0.970430107526882,0.387096774193548,NA,NA,0.00924937915822588,0.556029446864987,NA,757.5,0.678763440860215,0
"Otomops madagascariensis",0,0.926002055498458,0.539426523297491,0.543010752688172,0.706831119544592,0.119605263157895,0.0672293604568017,0.397046164198665,0.121914958223894,713.5,0.678817612757178,0
"Myotis elegans",0,0.307297019527235,0.664874551971326,0.746415770609319,0.997153700189753,0.188552631578947,0.0405716109970259,0.2425246909643,-0.00485299671519693,731.25,0.678935260574408,0
"Pteropus tuberculatus",0,0.354573484069887,0.92921146953405,0.756272401433692,0.676470588235294,0.182631578947368,0.0136904023183764,0.236470645820002,0.132231282939255,734.75,0.679131985818231,0
"Plecotus sardus",0,NA,0.970430107526882,0.3915770609319,NA,NA,0.00924937915822588,0.554916201732667,NA,760,0.681003584229391,0
"Hipposideros muscinus",0,0.854573484069887,0.841397849462366,0.729390681003584,0.298861480075901,0.128815789473684,0.018923333876866,0.258794847596817,0.263266557917217,724.875,0.681055873652935,0
"Taphozous kapalgensis",0,0.970195272353546,0.67741935483871,0.448028673835125,0.630929791271347,0.109605263157895,0.0385166870468944,0.496140756428694,0.143672326953576,716.25,0.681643273074682,0
"Leptonycteris yerbabuenae",0,0.781603288797533,0.6415770609319,0.551075268817204,0.75426944971537,0.138421052631579,0.0442111082767315,0.388304008092897,0.106034874576605,721.625,0.682131267065502,0
"Peropteryx kappleri",0,0.872559095580678,0.707885304659498,0.336917562724014,0.811195445920304,0.126578947368421,0.0335064501495464,0.578929835580157,0.0896290540114132,717.5,0.682139352221124,0
"Noctilio albiventris",0,0.813463514902364,0.919354838709677,0.345878136200717,0.65180265654649,0.135,0.0144961407305647,0.57423681979206,0.138602741227275,722.625,0.682624786589812,0
"Hypsugo kitcheneri",0,0.501027749229188,0.547491039426523,0.806451612903226,0.875711574952562,0.173552631578947,0.0644267747596433,0.189889017359565,0.0719855439094408,730.375,0.682670494127875,0
"Hipposideros corynophyllus",0,0.928571428571429,0.850358422939068,0.672043010752688,0.27988614800759,0.119342105263158,0.0185372439985993,0.292153207192173,0.270138847424911,724.375,0.682714752567694,0
"Platyrrhinus dorsalis",0,0.779547790339157,0.6084229390681,0.711469534050179,0.636622390891841,0.138552631578947,0.048980191517431,0.269461778406593,0.141990232447137,725.625,0.684015663587319,0
"Myotis stalkeri",0,0.441932168550874,0.738351254480287,0.646953405017921,0.909867172675522,0.176973684210526,0.0289245323281533,0.30804437890741,0.0576230250987317,733.75,0.684276000181151,0
"Mormopterus doriae",0,0.91983556012333,0.408602150537634,0.741039426523297,0.675521821631879,0.120526315789474,0.0998091258150006,0.244797625456324,0.132566981517576,722.5,0.686249739704035,0
"Nyctophilus heran",0,0.623329907502569,0.691756272401434,0.654121863799283,0.776091081593928,0.164210526315789,0.036707417400116,0.303759278111241,0.100045650349437,731.625,0.686324781324304,0
"Mops niangarae",0,0.861253854059609,0.57168458781362,0.887096774193548,0.428842504743833,0.127894736842105,0.0575402315204989,0.133033510921316,0.201089945773491,729.5,0.687219430202653,0
"Chiroderma improvisum",0,0.932682425488181,0.491039426523298,0.777777777777778,0.547438330170778,0.118815789473684,0.0795771941648611,0.21738584682008,0.163221732287677,725.125,0.687234489990009,0
"Corynorhinus mexicanus",0,0.437307297019527,0.810931899641577,0.828853046594982,0.684060721062619,0.177236842105263,0.0211527146788116,0.171564659442996,0.130281251853172,744.125,0.690288241079676,0
"Pteropus cognatus",0,0.505652620760534,0.845878136200717,0.802867383512545,0.609108159392789,0.173421052631579,0.0186568819667644,0.190661850438556,0.148584870426121,743.5,0.690876574966646,0
"Phyllostomus elongatus",0,0.766700924974306,0.979390681003584,0.473118279569892,0.545540796963947,0.140526315789474,0.00822360251936037,0.472614853132551,0.163502963989266,735.5,0.691187670627933,0
"Histiotus laephotis",0,0.439362795477903,0.92741935483871,0.969534050179211,0.435483870967742,0.177105263157895,0.0139884408054587,0.0734974244010301,0.199327548308803,750.875,0.692950017865892,0
"Murina florium",0,0.447070914696814,0.53494623655914,0.801971326164875,0.995256166982922,0.176578947368421,0.0679953459901553,0.192307986323906,-0.00114771648886514,744,0.694811161100938,0
"Ardops nichollsi",0,0.857142857142857,0.5,0.703405017921147,0.719165085388994,0.128552631578947,0.0778035232014718,0.276014551620488,0.117220366784241,733.75,0.69492824011325,0
"Chalinolobus tuberculatus",0,0.578108941418294,0.982974910394265,0.769713261648746,0.455407969639469,0.168947368421053,0.00766153083538486,0.226755778597422,0.193080957742361,749.625,0.696551270775193,0
"Platyrrhinus umbratus",0,0.843782117163412,0.612007168458781,0.653225806451613,0.679316888045541,0.130131578947368,0.0483356122780793,0.303952506009745,0.131102223694127,737.25,0.697082995029837,0
"Histiotus alienus",0,0.55344295991778,0.78494623655914,0.92741935483871,0.523719165085389,0.170657894736842,0.0234854809928009,0.109658372921295,0.169730630914103,750.375,0.697381929100255,0
"Artibeus anderseni",0,0.727132579650565,0.730286738351254,0.916666666666667,0.427893738140417,0.144210526315789,0.0302314693609486,0.116112788150592,0.201299542120796,749.125,0.700494930702226,0
"Phoniscus aerosa",0,NA,0.879032258064516,0.389784946236559,0.833017077798861,NA,0.0164820885401514,0.555446478490837,0.0839517309414589,764.666666666667,0.700611427366646,0
"Pipistrellus angulatus",0,0.466598150051387,0.776881720430108,0.811827956989247,0.747628083491461,0.175131578947368,0.0244945324833412,0.185311989592629,0.10978194574941,753.75,0.700733977740551,0
"Vespadelus vulturnus",0,0.597636176772867,0.801075268817204,0.712365591397849,0.696394686907021,0.1675,0.0217581002728089,0.269138362875185,0.125369731084097,751.125,0.701867930973735,0
"Eumops bonariensis",0,0.938848920863309,0.698028673835125,0.451612903225806,0.72011385199241,0.117763157894737,0.0351063735557113,0.491556081443496,0.117184718372905,738.875,0.702151087479163,0
"Platyrrhinus aurarius",0,0.718396711202467,0.666666666666667,0.810931899641577,0.618595825426945,0.144868421052632,0.0404128200269524,0.185844178130836,0.146478907888994,750,0.703647775734414,0
"Platyrrhinus infuscus",0,0.798561151079137,0.660394265232975,0.860215053763441,0.496204933586338,0.136052631578947,0.0414656962578587,0.152247802388972,0.175945571384588,749.25,0.703843850915473,0
"Rhogeessa gracilis",0,0.494347379239466,0.706093189964158,0.902329749103943,0.713472485768501,0.174078947368421,0.0338100957115469,0.125226034528519,0.119966341840321,757,0.704060701019017,0
"Lasiurus salinae",0,0.546762589928058,0.896953405017921,0.375448028673835,0.998576850094877,0.171315789473684,0.0157816122126571,0.556669312531534,-0.00730668032259299,751.125,0.704435218428673,0
"Pteralopex pulchra",0,0.479445015416238,0.920250896057348,0.81989247311828,0.599620493358634,0.174605263157895,0.0144432305471251,0.18031406514135,0.150971500826875,760.125,0.704802219487625,0
"Eptesicus guadeloupensis",0,0.563206577595067,0.723118279569892,0.870967741935484,0.665085388994307,0.169868421052632,0.0312548548355138,0.145120423158861,0.134421847161009,757,0.705594497023688,0
"Otomops johnstonei",0,NA,0.661290322580645,0.75089605734767,NA,NA,0.0412508048407949,0.241561805686076,NA,788,0.706093189964158,0
"Pteronotus macleayii",0,0.902363823227133,0.740143369175627,0.843189964157706,0.34819734345351,0.1225,0.0289087886199122,0.16244089593535,0.24394626427048,753,0.708473625003494,0
"Myotis planiceps",0,0.530832476875642,0.71594982078853,0.977598566308244,0.610056925996205,0.172105263157895,0.0318467217425498,0.06568956689405,0.148574849490092,762.375,0.708609447492155,0
"Pipistrellus wattsi",0,0.447070914696814,0.944444444444444,0.931899641577061,0.515180265654649,0.176578947368421,0.0120203566167234,0.106794645180542,0.172422014220394,768,0.709648816593242,0
"Notopteris neocaledonica",0,0.567317574511819,0.953405017921147,0.862007168458781,0.456356736242884,0.169605263157895,0.0114553068713357,0.151067764313455,0.192963690173583,764.75,0.709771624283658,0
"Myotis ruber",0,0.369989722507708,0.746415770609319,0.840501792114695,0.884250474383302,0.181710526315789,0.0284499804439408,0.165232143002195,0.0687239484758929,765.75,0.710289439903756,0
"Platyrrhinus recifinus",0,0.802672147995889,0.520609318996416,0.707885304659498,0.810246679316888,0.135789473684211,0.0732948517922141,0.272390167724195,0.0897696352694012,751.5,0.710353362742173,0
"Pteralopex acrodonta",0,NA,0.983870967741935,0.639784946236559,0.507590132827324,NA,0.00762167560638362,0.312963297772425,0.173496095530256,782.333333333333,0.710415348935273,0
"Nyctimene keasti",0,NA,0.546594982078853,0.876344086021505,NA,NA,0.0650998025506611,0.141152772641599,NA,794,0.711469534050179,0
"Pteropus howensis",0,NA,0.811827956989247,0.620967741935484,0.704933586337761,NA,0.021082413321466,0.323151659759106,0.122406794951752,780.666666666667,0.712576428420831,0
"Hipposideros wollastoni",0,0.960945529290853,0.801971326164875,0.775089605734767,0.31404174573055,0.112105263157895,0.0217269708824005,0.220056864921777,0.256572094540888,756.5,0.713012051730261,0
"Carollia castanea",0,0.724049331963001,0.593189964157706,0.793906810035842,0.743833017077799,0.144473684210526,0.0528165052593519,0.200764264817294,0.110455077457532,759.125,0.713744780808587,0
"Promops nasutus",0,0.748201438848921,0.806451612903226,0.728494623655914,0.581593927893738,0.141973684210526,0.021267953560098,0.259101494064419,0.15436005779198,763.5,0.71618540082545,0
