"Sp","Betacov.2021","R.Alb.2021","R.Car3.2021","R.Dal1.2021","R.Far1.2021","R.Gut1.2021","R.Po2.2021","R.Po3.2021","R.Stock1.2021","P.Alb.2021","P.Car3.2021","P.Dal1.2021","P.Far1.2021","P.Gut1.2021","P.Po2.2021","P.Po3.2021","P.Stock1.2021","Rank.2021","PropRank.2021","InSample.2021","Betacov.2020","R.Alb.2020","R.Car3.2020","R.Dal1.2020","R.Far1.2020","R.Gut1.2020","R.Po2.2020","R.Po3.2020","R.Stock1.2020","P.Alb.2020","P.Car3.2020","P.Dal1.2020","P.Far1.2020","P.Gut1.2020","P.Po2.2020","P.Po3.2020","P.Stock1.2020","Rank.2020","PropRank.2020","InSample.2020"
"Vampyrodes caraccioli",0,0.673689619732785,0.557347670250896,0.968864468864469,0.566176470588235,0.653225806451613,NA,1,0.785578747628083,0.14858407079646,0.085274548313332,0.238934545485357,0.21157720352755,0.240389600068922,NA,0.189291911096422,0.164990993318726,494.428571428571,0.74355468335944,1,0,0.654676258992806,0.543906810035842,0.96259842519685,0.988188976377953,0.484767025089606,NA,1,0.685009487666034,0.154473684210526,0.0661256408853113,0.300488109478912,0.150730774599894,0.460711482621887,NA,0.159556978454616,0.130192673283189,456.5,0.75987814047987,1
"Histiotus velatus",0,0.405960945529291,0.834229390681004,0.450549450549451,0.863970588235294,0.603942652329749,1,1,0.79696394686907,0.181150442477876,0.0290312892870622,0.60735946194283,0.206272955835324,0.290418434484646,0.2,0.189291911096422,0.16190396116575,443.9375,0.744452121774232,1,0,0.372559095580678,0.701612903225806,0.37007874015748,0.767716535433071,0.669354838709677,1,1,0.708728652751423,0.181578947368421,0.0345815139460324,0.654902891790269,0.156875204009722,0.294526273113689,0.2,0.159556978454616,0.121869442260853,408.375,0.698756345732267,1
"Lasiurus blossevillii",0,0.234840698869476,0.887096774193548,0.450549450549451,0.856617647058823,0.761648745519713,1,1,0.770398481973435,0.2,0.0230888142352134,0.60735946194283,0.206372010490956,0.163902576829817,0.2,0.189291911096422,0.169326919972117,448.75,0.745143974770556,1,0,0.221993833504625,0.813620071684588,0.37007874015748,0.559055118110236,0.652329749103943,1,1,0.793168880455408,0.201447368421053,0.0210636992874485,0.654902891790269,0.161038831593953,0.3047407994082,0.2,0.159556978454616,0.0937048559563654,407.8125,0.676280799127035,1
"Artibeus fimbriatus",0,0.809866392600206,0.602150537634409,0.450549450549451,0.746323529411765,0.697132616487455,1,1,0.658444022770398,0.135929203539823,0.0716889112924155,0.60735946194283,0.207836149800938,0.206103565259356,0.2,0.189291911096422,0.205939219842866,451.4375,0.74555831868171,1,0,0.784686536485098,0.552867383512545,0.37007874015748,0.496062992125984,0.620071684587814,1,1,0.472485768500949,0.138026315789474,0.0636861975462933,0.654902891790269,0.170818595509224,0.323800602547853,0.2,0.159556978454616,0.187673657466804,391.125,0.662031638171234,1
"Eumops perotis",0,0.715313463514902,0.793010752688172,0.450549450549451,0.926470588235294,0.301971326164875,1,1,0.811195445920304,0.144159292035398,0.035697086818156,0.60735946194283,0.205056988994076,0.642093234635813,0.2,0.189291911096422,0.155952230382671,437.6875,0.749813878384125,1,0,0.701438848920863,0.704301075268817,0.37007874015748,0.728346456692913,0.217741935483871,1,1,0.729601518026565,0.1475,0.0341846069535363,0.654902891790269,0.157272800385675,0.718602960128913,0.2,0.159556978454616,0.113390868759704,387.25,0.681438571818814,1
"Myotis levis",0,0.297533401849949,0.971326164874552,0.450549450549451,0.632352941176471,0.896057347670251,1,1,0.777988614800759,0.19,0.0117797363598174,0.60735946194283,0.209876952683624,0.0703143363395216,0.2,0.189291911096422,0.167096064939405,480.25,0.753225990115179,1,0,0.282631038026721,0.85663082437276,0.37007874015748,0.618110236220472,0.887992831541219,1,1,0.639468690702087,0.191052631578947,0.0182348813289143,0.654902891790269,0.159041806296434,0.133000404749877,0.2,0.159556978454616,0.140542512715994,435.6875,0.706864045127592,1
"Myotis californicus",0,0.325796505652621,0.899641577060932,0.450549450549451,0.724264705882353,0.815412186379928,1,1,0.813092979127135,0.187522123893805,0.0210911026071321,0.60735946194283,0.208064233834098,0.127536519280989,0.2,0.189291911096422,0.15435828043501,470.1875,0.753594675581552,1,0,0.491778006166495,0.81989247311828,0.37007874015748,0.688976377952756,0.798387096774194,1,1,0.911764705882353,0.174210526315789,0.0206406272089498,0.654902891790269,0.158085586854391,0.194787967973518,0.2,0.159556978454616,0.0570281465205967,481.625,0.760109675006445,1
"Falsistrellus mackenziei",0,0.590955806783145,0.53584229390681,0.846153846153846,0.716911764705882,0.695340501792115,1,1,0.687855787476281,0.170088495575221,0.0977022099021628,0.384816115940614,0.20828972029301,0.206915487710704,0.2,0.189291911096422,0.195089835254167,431.6875,0.75913250010226,1,0,0.582219938335046,0.508064516129032,0.726377952755906,0.811023622047244,0.545698924731183,1,1,0.573055028462998,0.168815789473684,0.0766691078101999,0.474374651262539,0.156382707252277,0.393812965904627,0.2,0.159556978454616,0.156930263603132,384.4375,0.718304997807676,1
"Lasiurus egregius",0,0.250256937307297,0.948028673835125,0.450549450549451,0.705882352941177,0.825268817204301,1,1,0.922201138519924,0.196991150442478,0.0153805796661333,0.60735946194283,0.208516785411818,0.121161673825645,0.2,0.189291911096422,0.102694175281663,482.875,0.762773421294659,1,0,0.260020554984584,0.848566308243728,0.37007874015748,0.748031496062992,0.816308243727599,1,1,0.937381404174573,0.195,0.0185649557576034,0.654902891790269,0.157142588423959,0.183475734196413,0.2,0.159556978454616,0.0448430207524827,465.1875,0.747548343418869,1
"Chalinolobus morio",0,0.596094552929085,0.508960573476703,0.846153846153846,0.871323529411765,0.722222222222222,1,1,0.562618595825427,0.169469026548673,0.104934447535085,0.384816115940614,0.206189373316355,0.189050882369793,0.2,0.189291911096422,0.233997461645791,421.0625,0.763421665002381,1,0,0.591983556012333,0.506272401433692,0.726377952755906,0.775590551181102,0.612903225806452,1,1,0.437381404174573,0.167894736842105,0.0768972873113774,0.474374651262539,0.156815296815606,0.328135230459051,0.2,0.159556978454616,0.198401979726988,375.75,0.706313636420507,1
