"Sp","Betacov","R.Alb","R.Car3","R.Gut1","R.Stock1","P.Alb","P.Car3","P.Gut1","P.Stock1","InSample","Rank","PropRank"
"Pteropus aldabrensis",0,NA,0.495519713261649,0.699820788530466,0.248576850094877,NA,0.130903617186665,0.212482278406489,0.316567717931877,0,532,0.48130578396233
"Glauconycteris egeria",0,0.248715313463515,0.447132616487455,0.666666666666667,0.564516129032258,0.197333333333333,0.150876859072376,0.237757884531195,0.187207134482938,0,520,0.481757681412474
"Mystacina robusta",0,NA,0.568100358422939,0.397849462365591,NA,NA,0.0917491907486478,0.503663065688705,NA,0,539,0.482974910394265
"Neoromicia zuluensis",0,0.223021582733813,0.420250896057348,0.793906810035842,0.265654648956357,0.203416666666667,0.162843018708585,0.149613240165965,0.300782600572871,0,359.75,0.483948488660276
"Myotis ater",0,0.211716341212744,0.309139784946237,0.439068100358423,0.976280834914611,0.20625,0.248016761584229,0.4639217884709,0.0502607136510595,0,517.5,0.484051265358004
"Hipposideros camerunensis",0,0.862795477903392,0.400537634408602,0.379928315412186,0.294117647058824,0.127416666666667,0.175332780081549,0.519892031443192,0.28408131698426,0,505.125,0.484344768695751
"Coelops robinsoni",0,0.703494347379239,0.376344086021505,0.555555555555556,0.306451612903226,0.144166666666667,0.187413085923439,0.351608362149026,0.277470494911679,0,511.875,0.485461400464882
"Otomops wroughtoni",0,0.83967112024666,0.360215053763441,0.316308243727599,0.426944971537002,0.1305,0.204275309642033,0.605715227727168,0.226325923813342,0,505.5,0.485784847318675
"Chaerephon chapini",0,0.509249743062693,0.42741935483871,0.553763440860215,0.455407969639469,0.175083333333333,0.159691369232899,0.353650599579168,0.218167209898961,0,517.625,0.486460127100272
"Chaerephon jobensis",0,0.861253854059609,0.413082437275986,0.337813620071685,0.335863377609108,0.12775,0.166360146619876,0.573520691962087,0.266629279120608,0,507.5,0.487003322254097
