"Sp","Betacov","R.Alb","R.Car3","R.Dal1","R.Far1","R.Gut1","R.Po2","R.Po3","R.Stock1","P.Alb","P.Car3","P.Dal1","P.Far1","P.Gut1","P.Po2","P.Po3","P.Stock1","InSample","Rank","PropRank"
"Hipposideros bicolor",0,0.268242548818088,0.147849462365591,0.347985347985348,0.415162454873646,0.109318996415771,0.36426116838488,0.695945945945946,0.410815939278937,0.194416666666667,0.396444275086663,0.704032033716864,0.304017101122437,0.907553120843611,0.4,0.225393311724247,0.234153685877877,1,174.8125,0.344947733008526
"Myotis nattereri",0,0.110483042137718,0.220430107526882,0.21978021978022,0.306859205776173,0.104838709677419,0.36426116838488,0.695945945945946,0.739089184060721,0.22525,0.334419271527441,0.846114482672009,0.316431817906432,0.909115040657686,0.4,0.225393311724247,0.133487493727441,1,200.25,0.345210947911245
"Tylonycteris pachypus",1,0.0113052415210689,0.163978494623656,0.652014652014652,0.657039711191336,0.127240143369176,NA,0.475225225225225,0.342504743833017,0.26475,0.388071563218603,0.493257746318137,0.218169060257924,0.891591032312855,NA,0.280338366669302,0.263177197250157,1,166.071428571429,0.347044030254019
"Hipposideros galeritus",1,0.196300102774923,0.132616487455197,0.652014652014652,0.776173285198556,0.0125448028673835,NA,0.475225225225225,0.19449715370019,0.208833333333333,0.406068470822128,0.493257746318137,0.216537835038419,0.960348626609747,NA,0.280338366669302,0.347133798102539,1,150.928571428571,0.348481672748018
"Myotis emarginatus",1,0.144912641315519,0.208781362007168,0.3003663003663,0.314079422382672,0.145161290322581,1,0.265765765765766,0.434535104364326,0.218916666666667,0.347690150651212,0.737621749265733,0.31594176656654,0.879517285752379,0.2,0.302316388647324,0.224448517984732,1,170.9375,0.351700235815541
"Myotis horsfieldii",1,0.0102774922918808,0.17741935483871,0.3003663003663,0.342960288808664,0.138888888888889,1,0.265765765765766,0.579696394686907,0.265416666666667,0.38062023766269,0.737621749265733,0.313822219092369,0.883564030580983,0.2,0.302316388647324,0.179271308978093,1,169.4375,0.35192181070589
"Pteropus vampyrus",0,0.0210688591983556,0.0313620071684588,0.787545787545788,0.407942238267148,0.0295698924731183,0.36426116838488,0.695945945945946,0.500948766603416,0.253583333333333,0.522807151834873,0.386491877507411,0.306124894465796,0.94971080911348,0.4,0.225393311724247,0.206841782063348,1,144,0.354830583198389
"Hipposideros gigas",1,0.561151079136691,0.0421146953405018,0.3003663003663,0.357400722021661,0.0922939068100358,1,0.265765765765766,0.244781783681214,0.171916666666667,0.509873530865745,0.737621749265733,0.312694230058105,0.916218593719191,0.2,0.302316388647324,0.317165763933145,1,167.4375,0.357984281640271
"Triaenops persicus",1,0.621788283658787,0.138888888888889,0.3003663003663,0.36101083032491,0.0860215053763441,1,0.265765765765766,0.0986717267552182,0.16775,0.4028705625234,0.737621749265733,0.312305262983241,0.919390487298724,0.2,0.302316388647324,0.412641879883926,1,168.3125,0.359064162642027
"Hipposideros lekaguli",1,0.433196300102775,0.128136200716846,0.3003663003663,0.375451263537906,0.224910394265233,1,0.265765765765766,0.195445920303605,0.178583333333333,0.409777300195779,0.737621749265733,0.311758498181169,0.772308186393212,0.2,0.302316388647324,0.347002391464592,1,176.5,0.365409018132304
"Sturnira lilium",0,0.730729701952724,0.461469534050179,0.0934065934065934,0.0541516245487365,0.323476702508961,0.151202749140893,0.36036036036036,0.760910815939279,0.141083333333333,0.14355952095897,1.21581822816075,0.514267635292656,0.592288608523667,0.6,0.291327377658313,0.126587490983268,1,316.4375,0.366963510238466
"Neoromicia somalicus",1,NA,0.0788530465949821,0.652014652014652,0.577617328519856,0.195340501792115,NA,0.475225225225225,0.240986717267552,NA,0.462926637028476,0.493257746318137,0.220355785304449,0.822668090282006,NA,0.280338366669302,0.318167512972607,1,167.25,0.37000624523573
"Pteronotus davyi",1,0.736382322713258,0.640681003584229,0.0164835164835165,0.176895306859206,0.609318996415771,0.36426116838488,0.148648648648649,0.272296015180266,0.140666666666667,0.069646667168291,1.56891861880574,0.393158874788179,0.296895274824595,0.4,0.324294410625346,0.297491469445995,1,317.25,0.370620872283722
"Pipistrellus deserti",1,0.306269270298047,0.0958781362007168,0.652014652014652,0.51985559566787,0.383512544802867,NA,0.475225225225225,0.190702087286528,0.189583333333333,0.44196936845825,0.493257746318137,0.223813123242831,0.517003149506077,NA,0.280338366669302,0.34960646134864,1,208.785714285714,0.374779644499415
"Pteropus hypomelanus",0,0.207605344295992,0.0842293906810036,0.728937728937729,0.393501805054152,0.043010752688172,0.36426116838488,0.695945945945946,0.481973434535104,0.207083333333333,0.458421361968599,0.454251703768235,0.307148912006059,0.94168343536192,0.4,0.225393311724247,0.211696785530981,1,170.9375,0.374933196315372
"Hypsugo pulveratus",1,NA,0.0887096774193548,0.652014652014652,0.685920577617328,0.148745519713262,NA,0.475225225225225,0.207779886148008,NA,0.452735913400852,0.493257746318137,0.217662959373808,0.876263774937326,NA,0.280338366669302,0.338666891693359,1,159.583333333333,0.376399256356305
"Artibeus phaeotis",1,0.774922918807811,0.46415770609319,0.0366300366300366,0.0649819494584837,0.795698924731183,0.36426116838488,0.0472972972972973,0.463946869070209,0.137583333333333,0.142127985160174,1.3920709996623,0.504324104131033,0.148805200340711,0.4,0.36825045458139,0.216373296814942,1,342.5625,0.376487108809136
"Ia io",1,0.0493319630010277,0.127240143369176,0.652014652014652,0.895306859205776,0.0833333333333333,NA,0.475225225225225,0.362428842504744,0.239416666666667,0.409988754465432,0.493257746318137,0.214680482688426,0.921109289164356,NA,0.280338366669302,0.252987897722883,1,170.928571428571,0.377840145521991
"Molossus rufus",0,0.81294964028777,0.671146953405018,0.0586080586080586,0.0613718411552347,0.35663082437276,0.0412371134020619,0.36036036036036,0.769449715370019,0.134,0.0654252016893014,1.35554576840495,0.506000617484583,0.549557581349038,0.8,0.291327377658313,0.124138431528602,1,358.5,0.39146931337016
"Myotis punicus",1,0.276464542651593,0.103046594982079,0.3003663003663,0.324909747292419,0.450716845878136,1,0.265765765765766,0.436432637571158,0.193583333333333,0.434294279024044,0.737621749265733,0.31456819540266,0.449351323858587,0.2,0.302316388647324,0.224272891346876,1,215.4375,0.394712804313431
"Eptesicus nilssonii",1,0.250770811921891,0.130824372759857,0.652014652014652,0.826714801444043,0.17831541218638,NA,0.475225225225225,0.253320683111954,0.196916666666667,0.407921267667766,0.493257746318137,0.215729628630138,0.845122334576472,NA,0.280338366669302,0.311953074295562,1,195.5,0.395312279809143
"Rhinolophus creaghi",1,0.294964028776978,0.382616487455197,0.652014652014652,0.451263537906137,0.421146953405018,NA,0.475225225225225,0.100569259962049,0.1905,0.184147864647069,0.493257746318137,0.255772449544483,0.482203770965029,NA,0.280338366669302,0.411276992022637,1,242.642857142857,0.396828592106465
"Myotis nigricans",0,0.229188078108941,0.705197132616487,0.0494505494505494,0.111913357400722,0.362903225806452,0.151202749140893,0.594594594594595,0.994307400379507,0.202916666666667,0.0561265837885766,1.37111214080112,0.456485832878193,0.545563498565707,0.6,0.269349355680291,0.0313364419973162,1,332.6875,0.399844635937268
"Glauconycteris variegata",1,0.121274409044193,0.0689964157706093,0.652014652014652,0.736462093862816,0.190860215053763,NA,0.475225225225225,0.555977229601518,0.223416666666667,0.474784399905706,0.493257746318137,0.217238412020991,0.827507908298415,NA,0.280338366669302,0.189777769073037,1,211.642857142857,0.400115748653254
"Nycteris macrotis",1,0.550359712230216,0.039426523297491,0.652014652014652,0.88086642599278,0.0474910394265233,NA,0.475225225225225,0.170777988614801,0.172666666666667,0.513999418306794,0.493257746318137,0.215064259042542,0.939354010081601,NA,0.280338366669302,0.362838482335329,1,191.428571428571,0.402308795257384
"Megaerops kusnotoi",1,0.416238437821172,0.216845878136201,0.652014652014652,0.527075812274368,0.461469534050179,NA,0.475225225225225,0.11100569259962,0.179833333333333,0.339891452517139,0.493257746318137,0.223139965819496,0.430813077079861,NA,0.280338366669302,0.4013514094576,1,244.071428571429,0.408553604588774
"Eptesicus fuscus",0,0.266187050359712,0.827956989247312,0.0494505494505494,0.108303249097473,0.53673835125448,0.151202749140893,0.594594594594595,0.770398481973435,0.194666666666667,0.0334919385497742,1.37111214080112,0.456973643053918,0.373056876543928,0.6,0.269349355680291,0.123615592090002,1,348.9375,0.413104001889806
"Eidolon dupreanum",1,0.307810894141829,0.310035842293907,0.78021978021978,0.317689530685921,0.265232974910394,1,0.265765765765766,0.0730550284629981,0.1895,0.247734573320009,0.402620295097752,0.315617360106782,0.697711899188132,0.2,0.302316388647324,0.432917444058887,1,190.5,0.414976227060074
"Acerodon celebensis",1,0.364850976361768,0.329749103942652,0.652014652014652,0.595667870036101,0.318100358422939,NA,0.475225225225225,0.172675521821632,0.184,0.23369874757713,0.493257746318137,0.21982454525167,0.604385593688289,NA,0.280338366669302,0.361190221467096,1,244.071428571429,0.415469101117853
